value,clean,CODI_ATC_1,NOMBRE_1,CODI_ATC_0.9,NOMBRE_0.9,CODI_ATC_0.8,NOMBRE_0.8,CODI_ATC_0.7,NOMBRE_0.7
NAPROXENO,NAPROXENO,M01AE,NAPROXENO,M01AE,NAPROXENO,M01AE,NAPROXENO,M01AE,NAPROXENO
paracetamol,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL
tiptizol.almogran.solgol,TIPTIZOLALMOGRANSOLGOL,,,,,,,,
PARACETAMOL,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL
INMIGRAN,INMIGRAN,,,N02CC,IMIGRAN,N02CC,IMIGRAN,N02CC,IMIGRAN
triptizol,TRIPTIZOL,,,,,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
ALTANGIN,ALTANGIN,,,,,A05AA,LITANIN,A05AA,LITANIN
max malt,MAX MALT,,,,,N02CC,MAXALT,N02CC,MAXALT
IBUPROFENO,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO
iboprufeno 600,IBOPRUFENO,,,,,M01AE,IBUPROFENO,M01AE,IBUPROFENO
Inmigran neo 50,INMIGRAN NEO,,,N02CC,IMIGRAN NEO,N02CC,IMIGRAN NEO,N02CC,IMIGRAN NEO
escitalopram y botox,ESCITALOPRAM Y BOTOX,,,,,,,N06AB,ESCITALOPRAM
naproxeno,NAPROXENO,M01AE,NAPROXENO,M01AE,NAPROXENO,M01AE,NAPROXENO,M01AE,NAPROXENO
lirica,LIRICA,,,,,N03AX,LYRICA,N03AX,LYRICA
inmigran neox,INMIGRAN NEOX,,,N02CC,IMIGRAN NEO,N02CC,IMIGRAN NEO,N02CC,IMIGRAN NEO
nolotil voltar?n,NOLOTIL VOLTAR?N,,,,,,,M01AB,DOLO VOLTAREN
triptans,TRIPTANS,,,,,,,A11JC,TRIVITAN
paracetamol,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL
Triptizol (preventiu),TRIPTIZOL PREVENTIU,,,,,,,,
neubrufen 600,NEUBRUFEN,,,,,M01AE,NEOBRUFEN,M01AE,NEOBRUFEN
espedifen,ESPEDIFEN,,,,,M01AE,ESPIDIFEN,M01AE,ESPIDIFEN
triptizol,TRIPTIZOL,,,,,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
PARACETAMOL Y OMEOPRAZOL,PARACETAMOL Y OMEOPRAZOL,,,,,,,,
ZOMING FLASH,ZOMING FLASH,,,N02CC,ZOMIG FLAS,N02CC,ZOMIG FLAS,N02CC,ZOMIG FLAS
TRIPTIZOL I SUMIAL,TRIPTIZOL I SUMIAL,,,,,,,,
naproxeno sodico,NAPROXENO SODICO,,,,,,,M02AA,PROXEN TOPICO
PARACETAMOL,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL
triptizol,TRIPTIZOL,,,,,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
homepatic,HOMEPATIC,,,,,,,J06BB,HEPATECT
ibuprofenos y nolotil,IBUPROFENOS Y NOLOTIL,,,,,,,,
IBUPROFE 600 MG,IBUPROFE,,,,,M01AE,IBUPROFENO,M01AE,IBUPROFENO
Naxopreno monos?dico,NAXOPRENO MONOS?DICO,,,,,,,,
LIRICA,LIRICA,,,,,N03AX,LYRICA,N03AX,LYRICA
max 10,MAX,,,,,,,A02AD,ALMAX
triptizol,TRIPTIZOL,,,,,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
vitamina B2,VITAMINA B,,,A11HA,VITAMINA E,A11HA,VITAMINA E,A11HA,VITAMINA E
homeopatia,HOMEOPATIA,,,,,,,,
espedifren,ESPEDIFREN,,,,,M01AE,ESPIDIFEN,M01AE,ESPIDIFEN
NO EL RECORDO,NO EL RECORDO,,,,,,,,
Almotript?n,ALMOTRIPT?N,,,,,,,,
triptizol,TRIPTIZOL,,,,,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
nalodol,NALODOL,,,,,,,M02AC,HALOGEDOL
neproxeno,NEPROXENO,,,,,M01AE,NAPROXENO,M01AE,NAPROXENO
scotrix,SCOTRIX,,,,,,,N05AH,PSICOTRIC
minoxidil,MINOXIDIL,D11AX,MINOXIDIL,D11AX,MINOXIDIL,D11AX,MINOXIDIL,D11AX,MINOXIDIL
HIERRO,HIERRO,,,,,B03AB,HIERCO,B03AB,HIERCO
ESTROGENS,ESTROGENS,,,,,,,J01FA,ERITROGOBENS
Acfol (?cid f?lic),ACFOL ?CID F?LIC,,,,,,,,
vitamines,VITAMINES,,,,,A13AA,VITAMINEX,A13AA,VITAMINEX
Iboprufe,IBOPRUFE,,,,,,,M01AE,IBUFEN
eutirox,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX
cortisona t?pica,CORTISONA T?PICA,,,,,,,,
homeopatia,HOMEOPATIA,,,,,,,,
Venauroutron,VENAUROUTRON,,,,,,,C05CA,VENORUTON
Iboprufeno,IBOPRUFENO,,,,,M01AE,IBUPROFENO,M01AE,IBUPROFENO
Omeoplazol,OMEOPLAZOL,,,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
palexia,PALEXIA,,,,,,,C09DB,COPALIA
ZALVIAR,ZALVIAR,,,,,N02AX,ZALDIAR,N02AX,ZALDIAR
Gabapentina,GABAPENTINA,,,N03AX,GABAPENTIN,N03AX,GABAPENTIN,N03AX,GABAPENTIN
"xarelto 2,5 mg, bisoprolol20mg, apocard 100mg",XARELTO  MG BISOPROLOLMG APOCARD,,,,,,,,
LEVOTROI,LEVOTROI,,,,,H03AA,LEVOTHROID,H03AA,LEVOTHROID
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
TRICTIZOL,TRICTIZOL,,,,,,,N06AA,TRYPTIZOL
nervovion,NERVOVION,,,,,A11DB,NERVOBION,A11DB,NERVOBION
Dep?n i no sempre,DEP?N I NO SEMPRE,,,,,,,,
levotroit,LEVOTROIT,,,,,H03AA,LEVOTHROID,H03AA,LEVOTHROID
levotroid,LEVOTROID,,,H03AA,LEVOTHROID,H03AA,LEVOTHROID,H03AA,LEVOTHROID
azopt,AZOPT,S01EC,AZOPT,S01EC,AZOPT,S01EC,AZOPT,S01EC,AZOPT
salazopirina,SALAZOPIRINA,,,A07EC,SALAZOPYRINA,A07EC,SALAZOPYRINA,A07EC,SALAZOPYRINA
LEXEMA,LEXEMA,,,D07AC,LEXXEMA,D07AC,LEXXEMA,D07AC,LEXXEMA
ferrogradumet,FERROGRADUMET,,,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET
monurol,MONUROL,J01XX,MONUROL,J01XX,MONUROL,J01XX,MONUROL,J01XX,MONUROL
COENCIMA Q 10,COENCIMA Q,,,,,,,A13AA,COENZIMA UTP
triptizol,TRIPTIZOL,,,,,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
"TOPOMAX,CIPRALEX, DEPRAX",TOPOMAXCIPRALEX DEPRAX,,,,,,,,
Levotiroxina,LEVOTIROXINA,,,,,H03AA,TIROXINA,H03AA,TIROXINA
venlafaxina retard 75,VENLAFAXINA RETARD,,,,,,,N06AX,VENLAFAXINA
altangin,ALTANGIN,,,,,A05AA,LITANIN,A05AA,LITANIN
"LYRICA,OMEPRAZOL, TARGIN, ORFIDAL",LYRICAOMEPRAZOL TARGIN ORFIDAL,,,,,,,,
sertralina,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA
analg?sicos,ANALG?SICOS,,,,,,,N02BE,ANALGIOL
Probiotics,PROBIOTICS,,,J01CA,PIROBIOTIC,J01CA,PIROBIOTIC,J01CA,PIROBIOTIC
vesomni,VESOMNI,,,,,,,A02BC,ESTOMIL
Levotiroxina s?dica Teva,LEVOTIROXINA S?DICA TEVA,,,,,,,,
bisoprolol,BISOPROLOL,,,,,C07AB,BISOPROLOL COR,C07AB,BISOPROLOL COR
Velaflaxina,VELAFLAXINA,,,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA
PRYPTIZOL,PRYPTIZOL,,,,,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
artilax,ARTILAX,,,,,J07BL,ARILVAX,J07BL,ARILVAX
iboprufe,IBOPRUFE,,,,,,,M01AE,IBUFEN
tirboost,TIRBOOST,,,,,,,N03AX,TIRBAS
vitaminas,VITAMINAS,,,,,A11HA,VITAMINA E,A11HA,VITAMINA E
levotiroxina,LEVOTIROXINA,,,,,H03AA,TIROXINA,H03AA,TIROXINA
Elontril,ELONTRIL,N06AX,ELONTRIL,N06AX,ELONTRIL,N06AX,ELONTRIL,N06AX,ELONTRIL
Tranquimazin Retard 0.25 mg,TRANQUIMAZIN RETARD,,,N05BA,TRANKIMAZIN RETARD,N05BA,TRANKIMAZIN RETARD,N05BA,TRANKIMAZIN RETARD
Cromoglicato de Sodio,CROMOGLICATO DE SODIO,,,R01AC,CROMOGLICATO SODICO,R01AC,CROMOGLICATO SODICO,R01AC,CROMOGLICATO SODICO
HOMEOPRAZOL,HOMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
QUETIAPINA,QUETIAPINA,,,,,,,C09BB,TRIAPIN
SIGNALAR POMADA,SIGNALAR POMADA,,,,,,,D07AC,GARIA POMADA
Ferogradumet,FEROGRADUMET,,,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET
APROCARD,APROCARD,,,C01BC,APOCARD,C01BC,APOCARD,C01BC,APOCARD
"Artilog, Liolesal",ARTILOG LIOLESAL,,,,,,,,
DIACEPAM,DIACEPAM,,,,,,,N05BA,DIAZEPAN
ibuprofeno,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO
MAGNESIO/SELENIO,MAGNESIOSELENIO,,,,,,,D11AC,CASPISELENIO
CARTICURE,CARTICURE,,,,,,,J04AM,RIMCURE
diacepan,DIACEPAN,,,,,N05BA,DIAZEPAN,N05BA,DIAZEPAN
lexatil,LEXATIL,,,,,N05BA,LEXATIN,N05BA,LEXATIN
LIRICA,LIRICA,,,,,N03AX,LYRICA,N03AX,LYRICA
Propanolol,PROPANOLOL,,,,,,,C02CA,PROGANDOL
LUMIGAN,LUMIGAN,S01EE,LUMIGAN,S01EE,LUMIGAN,S01EE,LUMIGAN,S01EE,LUMIGAN
QUETIAPINA,QUETIAPINA,,,,,,,C09BB,TRIAPIN
velafaxina,VELAFAXINA,,,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA
Dormir,DORMIR,,,,,R06AA,DORMIREL,R06AA,DORMIREL
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
"Rivotril, Lortacepam",RIVOTRIL LORTACEPAM,,,,,,,,
neocepan o leocepan,NEOCEPAN O LEOCEPAN,,,,,,,,
magnesi,MAGNESI,,,,,A12CC,MAGNESAN,A12CC,MAGNESAN
diabetes insipida por litio,DIABETES INSIPIDA POR LITIO,,,,,,,,
lorazepan,LORAZEPAN,,,,,N05BA,LORAZEPAM,N05BA,LORAZEPAM
Serd,SERD,,,,,,,N07CA,SERC
timogel,TIMOGEL,S01ED,TIMOGEL,S01ED,TIMOGEL,S01ED,TIMOGEL,S01ED,TIMOGEL
ferrogradumet,FERROGRADUMET,,,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET
antiinflamatorios,ANTIINFLAMATORIOS,,,,,,,M02AA,DOCTOFRIL ANTIINFLAMATORIO
ARTHROBLOCK FORTE,ARTHROBLOCK FORTE,,,,,,,C05BA,THROMBOCID FORTE
Diacepan,DIACEPAN,,,,,N05BA,DIAZEPAN,N05BA,DIAZEPAN
phosphate sandoz,PHOSPHATE SANDOZ,,,,,,,,
OMEOPRAZOL,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
Venorugon,VENORUGON,,,,,C05CA,VENORUTON,C05CA,VENORUTON
Duoresp. Spiromax,DUORESP SPIROMAX,,,,,,,R03CC,RESPIROMA
Oli d'Onagra,OLI DONAGRA,,,,,,,,
DUOFEMME,DUOFEMME,G03FB,DUOFEMME,G03FB,DUOFEMME,G03FB,DUOFEMME,G03FB,DUOFEMME
sinvastina,SINVASTINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
PERMIXON,PERMIXON,G04CX,PERMIXON,G04CX,PERMIXON,G04CX,PERMIXON,G04CX,PERMIXON
i,I,,,,,,,,
LIRICA,LIRICA,,,,,N03AX,LYRICA,N03AX,LYRICA
hidrosaluteril,HIDROSALUTERIL,,,,,C03AA,HIDROSALURETIL,C03AA,HIDROSALURETIL
CONDORSAN,CONDORSAN,,,,,M01AX,CONDROSAN,M01AX,CONDROSAN
COL?GEN+MAGN?SI,COL?GENMAGN?SI,,,,,,,,
homeopatia: folliculinum,HOMEOPATIA FOLLICULINUM,,,,,,,,
QUETIAPINA,QUETIAPINA,,,,,,,C09BB,TRIAPIN
Ginkgo biloba,GINKGO BILOBA,N06DX,GINKGO BILOBA,N06DX,GINKGO BILOBA,N06DX,GINKGO BILOBA,N06DX,GINKGO BILOBA
lirica,LIRICA,,,,,N03AX,LYRICA,N03AX,LYRICA
mincartil,MINCARTIL,,,,,,,M01AX,MASCARTIL
sirestar,SIRESTAR,,,,,,,C07AB,SILOSTAR
ATORVASTINA,ATORVASTINA,,,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA,C10AA,ATORVASTATINA
TARDOFERRON,TARDOFERRON,,,,,B03AA,TARDYFERON,B03AA,TARDYFERON
OMEOPRAZOL,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
velafaxina,VELAFAXINA,,,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA,N06AX,VENLAFAXINA
estromineral serena,ESTROMINERAL SERENA,,,,,,,,
SINVASTATINA,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
silbatatina,SILBATATINA,,,,,,,C10AA,SIMVASTATINA
TOTAL CLEANSE LIVER,TOTAL CLEANSE LIVER,,,,,,,,
quetiapina,QUETIAPINA,,,,,,,C09BB,TRIAPIN
Tranxilium,TRANXILIUM,N05BA,TRANXILIUM,N05BA,TRANXILIUM,N05BA,TRANXILIUM,N05BA,TRANXILIUM
Sinvastatina 20,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
ZADIAR,ZADIAR,,,N02AX,ZALDIAR,N02AX,ZALDIAR,N02AX,ZALDIAR
nicohepatocin,NICOHEPATOCIN,,,,,A16AX,NICO HEPATOCYN,A16AX,NICO HEPATOCYN
linelle,LINELLE,,,,,,,G03AA,ANTINELLE
espacmotil,ESPACMOTIL,,,,,,,A02AG,ESPASMOFILM
GENERIC,GENERIC,,,,,,,C08CA,GERICIN
ferrogradumet,FERROGRADUMET,,,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET
gineseda,GINESEDA,,,,,,,A10BB,GLIBENESE
CITOLOPRAM,CITOLOPRAM,,,N06AB,CITALOPRAM,N06AB,CITALOPRAM,N06AB,CITALOPRAM
evopad 25,EVOPAD,G03CA,EVOPAD,G03CA,EVOPAD,G03CA,EVOPAD,G03CA,EVOPAD
tebetane,TEBETANE,,,,,,,L01BA,BERTANEL
AUGMENTINE 500 MG.,AUGMENTINE,J01CR,AUGMENTINE,J01CR,AUGMENTINE,J01CR,AUGMENTINE,J01CR,AUGMENTINE
IBUPROFENO,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO,M01AE,IBUPROFENO
deltius,DELTIUS,,,,,,,B01AF,ELIQUIS
fluoxitina,FLUOXITINA,,,N06AB,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA
Vaselix,VASELIX,,,,,,,C10AA,VASLIP
amoxicilina cinfa 1g 30,AMOXICILINA CINFA G,,,,,,,J01CA,AMOXICILINA
ORFIDAL,ORFIDAL,N05BA,ORFIDAL,N05BA,ORFIDAL,N05BA,ORFIDAL,N05BA,ORFIDAL
Eutirox 100,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX
triptizol,TRIPTIZOL,,,,,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
"OMEOPRAZOL, CENTRIZITINA",OMEOPRAZOL CENTRIZITINA,,,,,,,,
Astromineral,ASTROMINERAL,,,,,,,A02BA,GASTRODOMINA
minerals i vitamines,MINERALS I VITAMINES,,,,,,,,
lirica- tramadol- diacepan -nolotil-omeoprazol,LIRICA TRAMADOL DIACEPAN NOLOTILOMEOPRAZOL,,,,,,,,
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
Gineseda,GINESEDA,,,,,,,A10BB,GLIBENESE
Orfidal,ORFIDAL,N05BA,ORFIDAL,N05BA,ORFIDAL,N05BA,ORFIDAL,N05BA,ORFIDAL
LOVIBON,LOVIBON,,,,,,,C07AB,LOBIVON
Omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
antidepressius,ANTIDEPRESSIUS,,,,,,,,
antidepresivo,ANTIDEPRESIVO,,,,,,,,
ORFIDAL,ORFIDAL,N05BA,ORFIDAL,N05BA,ORFIDAL,N05BA,ORFIDAL,N05BA,ORFIDAL
homeopatia,HOMEOPATIA,,,,,,,,
eurotinox,EUROTINOX,,,,,L03AA,EUPROTIN,L03AA,EUPROTIN
quetiapina,QUETIAPINA,,,,,,,C09BB,TRIAPIN
SETRALINA,SETRALINA,,,N06AB,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA
acid hyaluronic,ACID HYALURONIC,,,,,,,M05BA,ACIDO ALENDRONICO
SILVASTINA,SILVASTINA,,,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
oscillococinum,OSCILLOCOCINUM,,,,,,,,
IBOPROCENO,IBOPROCENO,,,,,M01AE,IBUPROFENO,M01AE,IBUPROFENO
valdram,VALDRAM,,,,,,,R06AX,ALDIRA
CILATOPRAM,CILATOPRAM,,,,,N06AB,CITALOPRAM,N06AB,CITALOPRAM
Fluoxetina,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA
calcium,CALCIUM,,,,,,,N05BA,VALIUM
IBOPRUFENO,IBOPRUFENO,,,,,M01AE,IBUPROFENO,M01AE,IBUPROFENO
ziloric,ZILORIC,,,,,M04AA,ZYLORIC,M04AA,ZYLORIC
fluoxitina,FLUOXITINA,,,N06AB,FLUOXETINA,N06AB,FLUOXETINA,N06AB,FLUOXETINA
PREPARADO,PREPARADO,,,,,,,G02CA,PRE PAR
Tramosalina,TRAMOSALINA,,,,,,,J01BA,TRAMINA
"Rivotril,triptyzol, Zolpidem",RIVOTRILTRIPTYZOL ZOLPIDEM,,,,,,,,
Vrandal retard 75,VRANDAL RETARD,,,N06AX,VANDRAL RETARD,N06AX,VANDRAL RETARD,N06AX,VANDRAL RETARD
Eviana,EVIANA,G03FA,EVIANA,G03FA,EVIANA,G03FA,EVIANA,G03FA,EVIANA
loracepan,LORACEPAN,,,,,,,N05BA,LORAZEPAM
fesmavit,FESMAVIT,,,,,,,,
TAMUSOLINA,TAMUSOLINA,,,,,,,R01AA,NASOLINA
brainvit,BRAINVIT,,,,,,,J05AB,BRINIX
alprazolam,ALPRAZOLAM,N05BA,ALPRAZOLAM,N05BA,ALPRAZOLAM,N05BA,ALPRAZOLAM,N05BA,ALPRAZOLAM
stillnox,STILLNOX,,,N05CF,STILNOX,N05CF,STILNOX,N05CF,STILNOX
dolovoltaren,DOLOVOLTAREN,,,M01AB,DOLO VOLTAREN,M01AB,DOLO VOLTAREN,M01AB,DOLO VOLTAREN
1 Actron i 1/2 Efferergan Codeina,ACTRON I  EFFERERGAN CODEINA,,,,,,,,
besitran 100,BESITRAN,N06AB,BESITRAN,N06AB,BESITRAN,N06AB,BESITRAN,N06AB,BESITRAN
pantoprazol,PANTOPRAZOL,A02BC,PANTOPRAZOL,A02BC,PANTOPRAZOL,A02BC,PANTOPRAZOL,A02BC,PANTOPRAZOL
suplementaci? natural,SUPLEMENTACI? NATURAL,,,,,,,,
Eurotirox 100,EUROTIROX,,,,,H03AA,EUTIROX,H03AA,EUTIROX
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
?SCETALOPRAN,?SCETALOPRAN,,,,,,,N06AB,ESCITALOPRAM
Sertralina 100 mg,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA,N06AB,SERTRALINA
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
Sinvastatina 20 mg,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
lormetazepan,LORMETAZEPAN,,,N05CD,LORMETAZEPAM,N05CD,LORMETAZEPAM,N05CD,LORMETAZEPAM
TRIGINOVIN,TRIGINOVIN,,,G03AB,TRIGYNOVIN,G03AB,TRIGYNOVIN,G03AB,TRIGYNOVIN
furosamida y vitamina b 12,FUROSAMIDA Y VITAMINA B,,,,,,,,
triaginon,TRIAGINON,,,,,G03AB,TRIAGYNON,G03AB,TRIAGYNON
eutirox,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX
melatonina,MELATONINA,,,H05BA,ELCATONINA,H05BA,ELCATONINA,H05BA,ELCATONINA
noyafren,NOYAFREN,,,,,N05BA,NOIAFREN,N05BA,NOIAFREN
Tansuloxina,TANSULOXINA,,,,,G04CA,TAMSULOSINA,G04CA,TAMSULOSINA
ginovin,GINOVIN,,,,,G03AA,GYNOVIN,G03AA,GYNOVIN
Fiogen Ferro Forte,FIOGEN FERRO FORTE,,,,,,,,
paracetamol,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL,N02BE,PARACETAMOL
ranitidina 150,RANITIDINA,A02BA,RANITIDINA,A02BA,RANITIDINA,A02BA,RANITIDINA,A02BA,RANITIDINA
homeopatia,HOMEOPATIA,,,,,,,,
servantistina 10mg,SERVANTISTINA,,,,,,,B03XA,ERANTIN
NACREZ,NACREZ,,,,,,,C09AA,NACOR
triptizol,TRIPTIZOL,,,,,N06AA,TRYPTIZOL,N06AA,TRYPTIZOL
Femlax,FEMLAX,,,,,,,A03CA,TEMPLAX
paroxsetina,PAROXSETINA,,,N06AB,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA
"LECITINA SOJA, GLUCOSAMINA, OMEGA 6 STOP DEEP",LECITINA SOJA GLUCOSAMINA OMEGA  STOP DEEP,,,,,,,,
Sulphur 35 ch,SULPHUR  CH,,,,,,,,
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
simvastatina,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
"LUMIGAN 0,3MG/ML",LUMIGAN MGML,,,,,,,S01EE,LUMIGAN
ferrogradumet,FERROGRADUMET,,,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET,B03AA,FERO GRADUMET
KLIMAKTOLAN,KLIMAKTOLAN,,,,,,,,
col?gen,COL?GEN,,,,,,,A02BA,CORALEN
EUTIROX 75,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX
Topimarato,TOPIMARATO,,,,,N03AX,TOPIRAMATO,N03AX,TOPIRAMATO
lirica,LIRICA,,,,,N03AX,LYRICA,N03AX,LYRICA
omeoprszol,OMEOPRSZOL,,,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
Deltius,DELTIUS,,,,,,,B01AF,ELIQUIS
PROPECIA,PROPECIA,D11AX,PROPECIA,D11AX,PROPECIA,D11AX,PROPECIA,D11AX,PROPECIA
OMEOPRAZOL,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
levotroid,LEVOTROID,,,H03AA,LEVOTHROID,H03AA,LEVOTHROID,H03AA,LEVOTHROID
aines,AINES,,,,,,,A07AA,ZAXINE
Demilos 600mg,DEMILOS,,,,,,,C04AE,DIEMIL
SILVASTATINA I ALOPURINOL,SILVASTATINA I ALOPURINOL,,,,,,,,
Energal 10,ENERGAL,,,,,A13AA,ENERGINA,A13AA,ENERGINA
OLI D'ONAGRA,OLI DONAGRA,,,,,,,,
Seroxat,SEROXAT,N06AB,SEROXAT,N06AB,SEROXAT,N06AB,SEROXAT,N06AB,SEROXAT
oli d'onagra,OLI DONAGRA,,,,,,,,
Eutirox 125,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX,H03AA,EUTIROX
PAROXETINA,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA,N06AB,PAROXETINA
levotiroxina,LEVOTIROXINA,,,,,H03AA,TIROXINA,H03AA,TIROXINA
Ginovin,GINOVIN,,,,,G03AA,GYNOVIN,G03AA,GYNOVIN
Evopad y Progesit,EVOPAD Y PROGESIT,,,,,,,,
Tranadol RETARD,TRANADOL RETARD,,,,,N02AX,TRADONAL RETARD,N02AX,TRADONAL RETARD
sinvastatina,SINVASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
VITAMINA D,VITAMINA D,,,A11CC,VITAMINA D3,A11CC,VITAMINA D3,A11CC,VITAMINA D3
simbastatina,SIMBASTATINA,,,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA,C10AA,SIMVASTATINA
JASMIN,JASMIN,,,,,G03AA,YASMIN,G03AA,YASMIN
"reishi,vitaminas,acido hialuronico,melatonina",REISHIVITAMINASACIDO HIALURONICOMELATONINA,,,,,,,,
uboprofeno,UBOPROFENO,,,,,M01AE,IBUPROFENO,M01AE,IBUPROFENO
estirol 88,ESTIROL,,,,,,,A13AA,STIMOL
Colageno y Magnesio (La Justicia),COLAGENO Y MAGNESIO LA JUSTICIA,,,,,,,,
"elotroi, fluroxitina",ELOTROI FLUROXITINA,,,,,,,,
VENOCUTAN,VENOCUTAN,,,,,,,C05CA,VENORUTON
gineseda,GINESEDA,,,,,,,A10BB,GLIBENESE
omeoprazol,OMEOPRAZOL,,,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL,A02BC,OMEPRAZOL
LEVOTROID,LEVOTROID,,,H03AA,LEVOTHROID,H03AA,LEVOTHROID,H03AA,LEVOTHROID
Andolipinu,ANDOLIPINU,,,,,,,C08CA,MANIDIPINO
